ref,rep,fam_2021,fams_div,fam_2023,clu,sxc,proteina,proteina_class,host,cadena,genero
0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,pol protein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
1,YP_009072438.1,Coronaviridae,Coronaviridae-Herpesviridae-Orthomyxoviridae-Filoviridae-Flaviviridae-Astroviridae-Caliciviridae-Paramyxoviridae-Reoviridae-Retroviridae,Coronaviridae,12,12115,ORF1ab polyprotein,Other-Functions,Homo sapiens,ssRNA(+),Betacoronavirus
2,AKZ15547.1,Retroviridae,Retroviridae-Coronaviridae,Retroviridae,3277,70061,envelope glycoprotein,Structural-Envelope,Homo sapiens,ssRNA-RT,Lentivirus
3,7LX5_B,Coronaviridae,Coronaviridae-Reoviridae,Coronaviridae,1911,7401,surface glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus
4,QIB02547.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,10199,43152,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-),Alphainfluenzavirus
5,AFD32428.2,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,8030,42254,hemagglutinin,Hemagglutinin,Homo sapiens,ssRNA(-),Alphainfluenzavirus
6,6T0W_A,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,5052,36012,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-),Alphainfluenzavirus
7,ACA25446.1,Hepadnaviridae,Hepadnaviridae,Hepadnaviridae,3076,33626,polymerase,Replication-Transcription,Homo sapiens,dsDNA-RT,Orthohepadnavirus
8,ACF39684.1,Hepadnaviridae,Hepadnaviridae,Hepadnaviridae,7811,33301,large S protein,Replication-Transcription,Homo sapiens,dsDNA-RT,Orthohepadnavirus
9,AQW44516.1,Flaviviridae,Flaviviridae-Coronaviridae-Hepadnaviridae,Flaviviridae,358,81816,polyprotein-NS5B-NS5A-NS3-4A,Polyprotein,Homo sapiens,ssRNA(+),Hepacivirus
10,BAG82822.1,Picornaviridae,Picornaviridae-Retroviridae,Picornaviridae,640,32162,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Enterovirus
11,6SZU_C,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,4412,29461,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-),Alphainfluenzavirus
12,6SZU_B,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,4755,25982,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-),Alphainfluenzavirus
