num_seq,num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Rep_of_class_predict,family_2021,family_divercity,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,Genus,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %
1,0,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,36,21.0,58.33
2,1,NODE_7_length_5098_cov_32.349005_2_489_1661,390,978,0.98,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,3,3.0,100.0
3,2,NODE_10_length_4708_cov_8.209941_3_3773_4708,311,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
4,3,NODE_11_length_4609_cov_6.741756_1_1649_4462,937,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,16,11.0,68.75
5,4,NODE_12_length_4603_cov_15.548193_4_1822_2739,305,543,0.94,QIX04702.1,Bornaviridae,Bornaviridae,Bornaviridae,1393,116,polymerase,Replication-Transcription,Callosciurus prevostii,ssRNA(-),Orthobornavirus,1,1.0,100.0
6,5,NODE_14_length_4498_cov_8.702764_2_2416_4497,693,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,10,8.0,80.0
7,6,NODE_15_length_4243_cov_11.751820_1_365_4171,1268,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,25,7.0,28.0
8,7,NODE_17_length_4231_cov_7.312895_1_703_2037,444,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
9,8,NODE_17_length_4231_cov_7.312895_3_2549_3745,398,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
10,9,NODE_18_length_4129_cov_6.287176_1_133_3453,1106,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,21,14.0,66.67
11,10,NODE_20_length_3939_cov_20.272394_3_1490_2434,314,855,1.0,QHD64829.1,Hypoviridae,Hypoviridae,Hypoviridae,217,43,polyprotein,Polyprotein,Sclerotinia sclerotiorum,ssRNA(+),Betahypovirus,1,1.0,100.0
12,11,NODE_21_length_3796_cov_15.000000_1_3_1076,358,979,0.93,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,1.0,50.0
13,12,NODE_22_length_3737_cov_15.273783_2_861_3725,954,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,17,17.0,100.0
14,13,NODE_23_length_3706_cov_6.436262_2_1855_3540,561,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,6.0,85.71
15,14,NODE_24_length_3699_cov_5.389044_1_1085_3697,870,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,15,12.0,80.0
16,15,NODE_25_length_3684_cov_6.667696_1_953_3682,909,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,16,4.0,25.0
17,16,NODE_26_length_3641_cov_5.334943_1_1_1815,604,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,7.0,87.5
18,17,NODE_26_length_3641_cov_5.334943_2_1793_3382,529,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,1.0,16.67
19,18,NODE_27_length_3577_cov_9.127604_1_3_3575,1191,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,23,21.0,91.3
20,19,NODE_28_length_3569_cov_6.459107_1_262_3567,1101,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,21,13.0,61.9
21,20,NODE_30_length_3547_cov_7.068593_1_3_2258,751,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,12,8.0,66.67
22,21,NODE_33_length_3519_cov_3.788699_2_1895_3409,504,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,6.0,100.0
23,22,NODE_34_length_3498_cov_16.038792_1_134_1978,614,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,8,7.0,87.5
24,23,NODE_35_length_3424_cov_3.366031_1_2_2998,998,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,18,8.0,44.44
25,24,NODE_36_length_3395_cov_15.274893_1_1271_3394,707,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,6.0,54.55
27,25,NODE_39_length_3349_cov_9.699504_2_557_2662,701,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,10.0,90.91
28,26,NODE_43_length_3257_cov_6.611607_1_26_3256,1076,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,20,20.0,100.0
29,27,NODE_44_length_3239_cov_45.289288_1_2_2272,756,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,12,12.0,100.0
30,28,NODE_47_length_3178_cov_61.523716_1_502_1770,422,350,1.0,YP_009552520.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3531,194,BSLF1- helicase-primase primase subunit,Replication-Transcription,Homo sapiens,dsDNA,Lymphocryptovirus,4,1.0,25.0
31,29,NODE_49_length_3155_cov_3.841463_3_955_3153,732,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,7.0,63.64
32,30,NODE_50_length_3126_cov_5.648253_1_3_3125,1041,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,19,9.0,47.37
33,31,NODE_51_length_3125_cov_6.756325_1_2_3091,1029,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,19,17.0,89.47
34,32,NODE_52_length_3114_cov_5.636485_1_3_3113,1037,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,19,9.0,47.37
35,33,NODE_53_length_3109_cov_17.459505_2_947_2020,357,81,1.0,ACX32354.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,12930,1532,early E2,Regulation-Control,Homo sapiens,dsDNA,Alphapapillomavirus,2,1.0,50.0
