Num_seq,acc_seq,lenght_aa,Certainty,Class_predict,Rep_of_class_predict,family_2021,fams_div,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,genre
0,NODE_4_length_5906_cov_13.991357_2_445_1377,310,0.77,388,QBJ02180.1,Reoviridae,Reoviridae,Sedoreoviridae,13816,177,NSP1,Non-structural,Sus scrofa,dsRNA,Rotavirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.83,31,QFR36400.1,Geminiviridae,Geminiviridae-Virgaviridae-Caulimoviridae-Alphasatellitidae,Geminiviridae,13371,8286,replication-associated protein,Replication-Transcription,Solanum lycopersicum,ssDNA(+/-),Begomovirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.51,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,1.0,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.99,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.6,425,YP_009553669.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,950,153,reverse transcriptase,Replication-Transcription,Brassica oleracea var. botrytis,dsDNA-RT,Caulimovirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.69,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.8,979,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.92,425,YP_009553669.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,950,153,reverse transcriptase,Replication-Transcription,Brassica oleracea var. botrytis,dsDNA-RT,Caulimovirus
1,NODE_6_length_5164_cov_7.464010_1_3_5162,1720,0.97,425,YP_009553669.1,Caulimoviridae,Caulimoviridae,Caulimoviridae,950,153,reverse transcriptase,Replication-Transcription,Brassica oleracea var. botrytis,dsDNA-RT,Caulimovirus
