Num_seq,acc_seq
33,NODE_39_length_1045_cov_1.851107_1_3_971
40,NODE_46_length_1028_cov_2.180143_1_1_1026
41,NODE_47_length_1026_cov_2.109744_1_2_1024
46,NODE_52_length_1008_cov_1.758621_1_3_1007
47,NODE_54_length_1007_cov_1.282427_1_3_1007
54,NODE_63_length_969_cov_1.506536_1_1_969
55,NODE_64_length_969_cov_1.445534_1_3_968
58,NODE_70_length_952_cov_1.570477_1_3_944
60,NODE_72_length_950_cov_1.948832_1_2_949
63,NODE_75_length_946_cov_3.255866_1_3_944
66,NODE_78_length_937_cov_1.613995_1_2_937
68,NODE_80_length_936_cov_1.798870_1_1_936
69,NODE_81_length_934_cov_1.134768_1_2_934
74,NODE_86_length_925_cov_1.534325_1_1_924
75,NODE_87_length_924_cov_2.252005_1_1_924
82,NODE_94_length_909_cov_2.073427_1_1_909
85,NODE_97_length_905_cov_1.744731_1_1_903
87,NODE_99_length_902_cov_1.861340_1_3_902
97,NODE_37_length_1056_cov_0.376749_1_2_988
98,NODE_39_length_1046_cov_0.937976_1_91_1044
101,NODE_48_length_1004_cov_0.578107_1_2_1003
105,NODE_64_length_962_cov_3.141317_1_2_961
106,NODE_65_length_961_cov_0.370504_1_2_961
109,NODE_89_length_907_cov_2.646154_1_3_905
110,NODE_91_length_905_cov_2.075835_1_2_904
111,NODE_93_length_904_cov_0.603604_1_3_902
112,NODE_94_length_902_cov_23.281290_1_1_900
