num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %,Rep_of_class_predict,Sequences_by_cltr,family_2021,family_2023,family_divercity,Genus,Protein_type,Protein_class,Host,Chain
0,NC_077216.1_1_175_2139,654,637,0.93,18,17.0,94.44,QED42836.1,84,Solemoviridae,Solemoviridae,Solemoviridae-Luteoviridae-Geminiviridae,Polerovirus,P1,Other-Functions,Capsicum annuum,ssRNA(+)
1,NC_077216.1_2_2154_3431,425,407,1.0,7,7.0,100.0,QVY47431.1,163,Solemoviridae,Solemoviridae,Solemoviridae-Luteoviridae-Geminiviridae,Polerovirus,RNA-dependent RNA polymerase,Structural-Envelope,Capsicum annuum,ssRNA(+)
2,NC_077216.1_4_4506_5828,440,251,1.0,7,5.0,71.43,BAV53465.1,335,Solemoviridae,Solemoviridae,Solemoviridae-Luteoviridae-Geminiviridae,Polerovirus,coat protein,Structural-Envelope,Solanum tuberosum,ssRNA(+)
3,NC_078035.1_1_463_1413,316,978,0.87,1,1.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
4,NC_078257.1_1_185_1669,494,978,0.98,10,10.0,100.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
5,NC_078461.1_1_103_1266,387,978,0.98,5,2.0,40.0,Prokaryotic-viral,6464,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Variaty,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty
6,NC_078672.1_1_73_2919,948,225,1.0,33,33.0,100.0,CAC80000.1,383,Bromoviridae,Bromoviridae,Bromoviridae,Cucumovirus,1a protein-helicase-replicase,Replication-Transcription,Capsicum annuum,ssRNA(+)
7,NC_078673.1_1_112_7932,2606,348,0.95,116,12.0,10.34,YP_009507950.1,196,Closteroviridae,Closteroviridae,Closteroviridae,Crinivirus,ORF1a,Polyprotein,Rubus,ssRNA(+)
8,NC_078677.1_1_93_1526,477,517,1.0,9,8.0,88.89,QBI22252.1,124,Fimoviridae,Fimoviridae,Fimoviridae,Emaravirus,p7,Hypothetical,Rosa sp.,ssRNA(-)
9,NC_079036.1_1_90_4382,1430,633,0.99,57,44.0,77.19,ATB53305.1,85,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,Orthobunyavirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(-)
10,NC_076508.1_2_669_8906,2745,979,0.94,123,32.0,26.02,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
11,NC_076519.1_1_73_2403,776,66,0.96,24,10.0,41.67,ASV45868.1,1992,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,Lyssavirus,polymerase,Replication-Transcription,Canis lupus familiaris,ssRNA(-)
12,NC_076563.1_1_187_2352,721,701,1.0,22,20.0,90.91,QXN75374.1,104,Mitoviridae,Mitoviridae,Mitoviridae,Mitovirus,RNA-dependent RNA polymerase,Replication-Transcription,Gremmeniella abietina,ssRNA(+)
13,NC_076782.1_1_1_2088,695,979,0.97,20,5.0,25.0,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
14,NC_076795.1_1_98_2059,653,979,0.98,18,11.0,61.11,Non-Viral,7561,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Non-Viral,Other-Functions,Non-Viral,Non-Viral
15,MT041135.1_1_2_1432,476,4,1.0,9,9.0,100.0,QIB02547.1,43152,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,neuraminidase,Other-Functions,Homo sapiens,ssRNA(-)
16,MT068649.1_1_1_1059,353,19,1.0,3,3.0,100.0,QOE76828.1,12829,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(-)
17,OK022340.1_1_2_2128,709,6,1.0,21,21.0,100.0,6T0W_A,36012,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PA,Replication-Transcription,Homo sapiens,ssRNA(-)
18,OK022446.1_1_1_2277,759,11,1.0,23,23.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
19,OQ139629.1_1_444_3026,861,10,1.0,29,29.0,100.0,BAG82822.1,32162,Picornaviridae,Picornaviridae,Picornaviridae-Retroviridae,Enterovirus,polyprotein,Polyprotein,Homo sapiens,ssRNA(+)
20,OR189411.1_1_38_1798,586,140,1.0,15,15.0,100.0,YP_009094449.1,740,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Respirovirus,hemagglutinin-neuraminidase,Hemagglutinin,Homo sapiens,ssRNA(-)
21,OR189442.1_1_38_1798,586,140,1.0,15,15.0,100.0,YP_009094449.1,740,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Respirovirus,hemagglutinin-neuraminidase,Hemagglutinin,Homo sapiens,ssRNA(-)
22,OR189449.1_1_38_1795,585,140,1.0,15,15.0,100.0,YP_009094449.1,740,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,Respirovirus,hemagglutinin-neuraminidase,Hemagglutinin,Homo sapiens,ssRNA(-)
23,PP032855.1_1_1_2280,759,11,1.0,23,23.0,100.0,6SZU_C,29461,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB2,Replication-Transcription,Homo sapiens,ssRNA(-)
24,PP032856.1_1_1_2274,757,12,1.0,23,23.0,100.0,6SZU_B,25982,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,Alphainfluenzavirus,polymerase PB1,Replication-Transcription,Homo sapiens,ssRNA(-)
