num_seq,num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Rep_of_class_predict,family_2021,family_divercity,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,Genus,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %
0,0,contig-21_1_length_21551_read_count_39932_1_35_1501,488,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,4.0,80.0
1,1,contig-21_1_length_21551_read_count_39932_3_2704_4884,726,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,9.0,81.82
2,2,contig-21_1_length_21551_read_count_39932_4_5105_6016,303,979,0.92,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
3,3,contig-21_1_length_21551_read_count_39932_6_6721_7716,331,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
4,4,contig-21_1_length_21551_read_count_39932_12_10070_11407,445,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
5,5,contig-21_3_length_14383_read_count_19872_1_2_1057,352,871,0.94,CAD6468500.1,Picornaviridae,Picornaviridae,Picornaviridae,831,42,polyprotein,Other-Functions,Gallus gallus,ssRNA(+),Tremovirus,2,1.0,50.0
6,6,contig-21_3_length_14383_read_count_19872_2_1059_2492,477,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,5.0,100.0
7,7,contig-21_3_length_14383_read_count_19872_4_3106_4227,373,978,0.86,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,2,1.0,50.0
9,8,contig-21_3_length_14383_read_count_19872_11_9308_10582,424,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
10,9,contig-21_3_length_14383_read_count_19872_13_11527_12762,411,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
11,10,contig-21_3_length_14383_read_count_19872_14_12768_14267,499,978,0.94,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,5,5.0,100.0
12,11,contig-21_8_length_10917_read_count_23338_1_474_1970,498,978,0.93,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,5,2.0,40.0
13,12,contig-21_8_length_10917_read_count_23338_2_2003_2929,308,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
14,13,contig-21_8_length_10917_read_count_23338_3_2926_3876,316,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
15,14,contig-21_8_length_10917_read_count_23338_5_4637_6052,471,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,5,4.0,80.0
16,15,contig-21_8_length_10917_read_count_23338_6_6139_7431,430,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
17,16,contig-21_8_length_10917_read_count_23338_7_7428_9701,757,978,0.97,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,12,9.0,75.0
18,17,contig-21_8_length_10917_read_count_23338_8_9698_10915,406,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,2.0,66.67
19,18,contig-21_11_length_9418_read_count_14404_1_1_1173,390,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
20,19,contig-21_11_length_9418_read_count_14404_4_1983_3083,366,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,2.0,100.0
21,20,contig-21_11_length_9418_read_count_14404_5_3080_4255,391,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,2.0,66.67
22,21,contig-21_11_length_9418_read_count_14404_6_4367_5284,305,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
23,22,contig-21_11_length_9418_read_count_14404_7_5274_6569,431,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,4,4.0,100.0
24,23,contig-21_11_length_9418_read_count_14404_8_6613_7578,321,979,0.8,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
25,24,contig-21_11_length_9418_read_count_14404_10_8170_9408,412,757,0.87,YP_654555.1,Secoviridae,Secoviridae,Secoviridae,912,57,polyprotein,Polyprotein,Fragaria x ananassa,ssRNA(+),Sadwavirus,3,1.0,33.33
26,25,contig-21_14_length_8796_read_count_13842_1_1_2823,941,979,0.91,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,17,6.0,35.29
27,26,contig-21_14_length_8796_read_count_13842_2_2888_6511,1207,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,23,17.0,73.91
28,27,contig-21_14_length_8796_read_count_13842_3_6609_8795,729,979,0.95,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,11,6.0,54.55
30,28,contig-21_16_length_8601_read_count_11942_2_1098_2963,621,979,0.96,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,9,9.0,100.0
31,29,contig-21_16_length_8601_read_count_11942_3_3020_4720,566,979,0.94,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,7,3.0,42.86
32,30,contig-21_16_length_8601_read_count_11942_4_4717_6252,511,979,0.99,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,6,5.0,83.33
33,31,contig-21_18_length_8239_read_count_12961_1_2_1231,410,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,3.0,100.0
34,32,contig-21_18_length_8239_read_count_12961_7_4273_7896,1207,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,23,23.0,100.0
35,33,contig-21_21_length_8134_read_count_14973_3_1669_2892,407,979,1.0,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,2.0,66.67
36,34,contig-21_21_length_8134_read_count_14973_4_3043_4569,508,978,0.97,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,6,3.0,50.0
37,35,contig-21_21_length_8134_read_count_14973_6_5065_6300,411,979,0.97,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,3,1.0,33.33
