Num_seq,acc_seq
21,NC_073676.1_19_12430_13446
38,NC_073459.1_6_4987_5913
68,NC_073439.1_60_38349_39260
84,NC_073325.1_29_19666_20709
216,NC_071128.1_62_36039_36953
243,NC_070654.1_28_26486_27403
258,NC_070677.1_5_4513_5706
283,NC_070814.1_21_18941_20041
289,NC_070814.1_64_41785_42798
314,NC_070823.1_27_18687_19763
353,NC_070833.1_35_24611_25531
363,NC_070837.1_20_15058_15966
364,NC_070837.1_21_15977_16954
500,NC_070937.1_234_166474_167460
516,NC_070981.1_7_4415_5317
518,NC_070981.1_37_15396_16346
556,NC_070991.1_84_56112_57215
578,NC_070993.1_83_58975_59946
598,NC_071006.1_58_51096_52034
605,NC_071006.1_102_81548_82456
625,NC_071030.1_7_6821_7768
658,NC_062744.1_66_52839_53987
664,NC_062744.1_86_67916_68818
684,OP913462.1_102_54511_55419
739,OY979398.1_18_11205_12107
751,OY979398.1_52_44081_45067
767,OR729839.1_29_16288_17325
776,OR729839.1_44_37380_38321
797,OR420753.1_9_4185_5162
802,OR420753.1_30_18101_19057
824,OR526489.1_62_44227_45543
857,OP380595.1_26_16367_17305
867,OP380595.1_71_43968_45035
893,OP380595.1_197_131930_132958
895,OP380595.1_200_135834_136739
992,OR521073.1_38_26306_27484
995,OR521073.1_46_33734_34687
998,OR521079.1_6_4708_5634
1021,OR521086.1_85_52536_53477
1023,OR521086.1_106_63488_64450
1052,OR553905.1_5_2393_3307
1057,OR553905.1_21_20201_21178
1157,OQ831730.1_76_53644_54561
1203,OR234023.1_212_135744_136679
1205,OR234023.1_219_139920_140918
1212,OR234023.1_257_162751_164037
1220,OR296322.1_28_16584_17489
1222,OR296322.1_34_20133_21092
1280,OR327750.1_186_123461_124399
1324,OR159667.1_20_22749_23684
1339,OR231918.1_57_28427_29449
1349,OR231918.1_113_65014_65931
1376,OR231918.1_269_160094_161104
1400,OQ291054.1_33_21736_22638
1451,OR050820.1_8_5100_6005
1483,OR138016.1_85_68616_69902
1490,OR138016.1_123_92434_93432
1491,OR138016.1_126_94508_95479
1492,OR138016.1_130_96673_97608
1555,OQ790161.1_218_153888_154838
1594,OQ790161.1_308_265195_266121
1595,OQ790161.1_321_271821_272777
1600,OQ790161.1_333_285050_285985
1654,OQ921345.1_89_62352_63368
1660,OQ921345.1_102_75339_76241
1668,OQ921345.1_160_111693_112607
1714,OQ719603.1_45_41414_42406
1724,OQ719603.1_79_68868_69908
1756,LC768496.1_19_9999_11018
1764,LC768496.1_62_42102_43388
1771,LC768496.1_99_64672_65670
1772,LC768496.1_102_66746_67717
1773,LC768496.1_106_68911_69846
1787,LC768496.1_189_115486_116547
1830,OQ632216.1_129_77203_78132
1853,OQ632216.1_226_152584_153744
1862,OQ632216.1_251_179483_180445
1866,OQ709214.1_7_7019_7966
1888,OQ709219.1_49_37731_38672
1891,OQ709219.1_75_51534_52436
1902,OX382596.1_40_25067_26155
1934,OX382633.1_54_45780_46712
1952,OX382665.1_11_5482_6456
2011,OX382723.1_19_21094_22029
2017,OX382723.1_50_38778_39701
2044,OX382803.1_54_21564_22520
2048,OX382803.1_62_29627_30682
2052,OX382816.1_20_10163_11086
2058,OX382816.1_39_32279_33214
2073,OX382824.1_34_33622_34533
2088,OX382824.1_169_108011_108958
2136,OX382968.1_20_7596_8600
2153,OX382978.1_12_4636_5691
2157,OX382978.1_20_12798_13754
2293,OX383157.1_1_2_1057
2328,OX461087.1_50_23336_24274
2341,OM870968.1_20_14834_15751
2350,OM870968.1_73_45614_46564
2354,OM870968.1_90_53940_54923
2375,OP875101.1_156_79006_79923
2379,OP875101.1_172_90385_91302
2427,OQ404738.1_5_3379_4338
2431,OQ404738.1_24_22193_23239
2432,OQ404738.1_25_23735_24694
2471,OQ267696.1_4_2537_3469
2474,OQ267696.1_22_15595_16566
2483,OM293956.1_8_6376_7455
2509,OM728296.1_127_81521_82579
2521,OM728296.1_157_108639_109604
2525,OM728296.1_179_122535_123488
2532,MZ956764.1_53_28011_28913
2545,OQ243220.1_5_2267_3229
2626,OP172719.1_13_11901_13058
2643,OP172728.1_24_20547_21527
2713,OP172817.1_50_39097_40017
2716,OP172818.1_18_8730_9656
2762,OP947226.2_59_49730_50752
2763,OP947226.2_61_51273_52226
2773,OP961724.1_26_21825_22760
2778,LC744186.1_8_3043_3954
2791,LC744187.1_8_3043_3954
2837,OP751152.1_20_15885_16823
2844,OP753451.1_15_10523_11488
2875,OP423032.1_45_45935_46864
2889,OP423032.1_120_101950_103014
2896,OP423032.1_149_122893_123933
2921,OP797796.1_34_30835_31779
2926,OP272490.1_4_1950_2924
2935,OP620754.2_35_20266_21225
2954,OK583893.1_46_36866_37822
2957,OP413830.1_1_66_968
2999,OP503991.1_15_11075_12193
3004,OP503991.1_32_24807_25736
3017,OP650936.1_34_26926_28020
3021,OP650936.1_62_43031_43984
3107,ON932083.1_29_19053_19955
3110,ON932083.1_36_26101_27105
3115,ON932083.1_44_39908_41254
3121,OP103922.1_24_13591_14496
3144,ON170049.1_29_22336_23238
3153,ON170053.1_7_5319_6371
3155,ON170053.1_19_13914_14822
3169,ON170088.1_15_12231_13133
3186,ON170120.1_29_22336_23238
3199,ON170196.1_15_12231_13133
3221,ON170250.1_29_22336_23238
3234,ON170252.1_15_12231_13133
3259,ON170295.1_29_22336_23238
3284,OP380492.1_117_61548_62558
3306,OP380492.1_172_123289_124251
3317,ON911538.2_17_15825_16781
3326,OP270708.1_21_12099_13223
3327,OP270708.1_36_19458_20387
3357,OP292673.1_73_44695_45621
3370,OX335387.1_27_15659_16705
3382,OX335393.1_26_15585_16631
3386,OX335393.1_43_33916_34875
3418,OP297541.2_51_45288_46286
3423,OP297541.2_88_68426_69514
3435,OP297543.1_56_37490_38485
3444,OP297549.1_25_19727_20749
3451,LC727865.1_29_14741_15694
