num_seq,num_seq_,Seq_input,Seq_input_aa,predicted_class,Certainty %,Rep_of_class_predict,family_2021,family_divercity,family_2023,Cltr_rep,Sequences_by_cltr,Protein_type,Protein_class,Host,Chain,Genus,Kmers_by_sequence,Kmers_predicted_to_class,Query_coverage %
0,0,NODE_126_length_2129_cov_5.079502_1_86_1678,530,978,0.99,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,6,2.0,33.33
1,1,NODE_30998_length_1597_cov_9.465736_2_30_1595,521,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,6,6.0,100.0
2,2,NODE_38054_length_5414_cov_11.724087_2_870_2111,413,593,1.0,YP_009111421.1,Polyomaviridae,Polyomaviridae,Polyomaviridae,4329,97,large T antigen,Other-Functions,Homo sapiens,dsDNA,Alphapolyomavirus,3,3.0,100.0
3,3,NODE_2388_length_5434_cov_7.242907_2_186_1457,423,260,1.0,BBG62110.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,10203,311,VP1-capsid,Structural-Envelope,Homo sapiens,dsDNA,Alphapolyomavirus,4,4.0,100.0
4,4,NODE_2388_length_5434_cov_7.242907_6_4262_5434,391,593,1.0,YP_009111421.1,Polyomaviridae,Polyomaviridae,Polyomaviridae,4329,97,large T antigen,Other-Functions,Homo sapiens,dsDNA,Alphapolyomavirus,3,3.0,100.0
5,5,NODE_1_length_5444_cov_5.040979_2_799_2070,423,260,1.0,BBG62110.2,Polyomaviridae,Polyomaviridae,Polyomaviridae,10203,311,VP1-capsid,Structural-Envelope,Homo sapiens,dsDNA,Alphapolyomavirus,4,4.0,100.0
6,6,NODE_1_length_5444_cov_5.040979_3_2146_3387,413,593,1.0,YP_009111421.1,Polyomaviridae,Polyomaviridae,Polyomaviridae,4329,97,large T antigen,Other-Functions,Homo sapiens,dsDNA,Alphapolyomavirus,3,3.0,100.0
7,7,NODE_2_length_1180_cov_9.326838_1_95_1138,347,978,0.87,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,2,2.0,100.0
8,8,NODE_646_length_1865_cov_58.724100_1_139_1731,530,848,0.97,YP_003587871.1,Anelloviridae,Anelloviridae,Anelloviridae,6206,45,hypothetical protein,Hypothetical,Homo sapiens,ssDNA(-),Betatorquevirus,6,1.0,16.67
9,9,NODE_498_length_1119_cov_16.325368_1_3_1118,372,10,1.0,BAG82822.1,Picornaviridae,Picornaviridae-Retroviridae,Picornaviridae,640,32162,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Enterovirus,2,2.0,100.0
10,10,NODE_15_length_1484_cov_8.337055_1_2_1462,486,10,1.0,BAG82822.1,Picornaviridae,Picornaviridae-Retroviridae,Picornaviridae,640,32162,polyprotein,Polyprotein,Homo sapiens,ssRNA(+),Enterovirus,5,5.0,100.0
11,11,NODE_118_length_7613_cov_17.157346_3_768_2585,605,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
12,12,NODE_118_length_7613_cov_17.157346_5_4073_5632,519,561,1.0,YP_009508759.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,7752,111,L2,Other-Functions,Homo sapiens,dsDNA,Betapapillomavirus,6,6.0,100.0
13,13,NODE_118_length_7613_cov_17.157346_6_5648_7204,518,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
14,14,NODE_11233_length_2648_cov_25.271412_3_1393_2646,417,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,3,3.0,100.0
15,15,NODE_9545_length_1054_cov_5.996128_1_2_1015,337,66,0.97,ASV45868.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,493,1992,polymerase,Replication-Transcription,Canis lupus familiaris,ssRNA(-),Lyssavirus,1,1.0,100.0
17,16,NODE_410_length_1618_cov_7.604946_1_1_1566,522,338,1.0,QCG99665.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3577,207,glycoprotein 350,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus,6,6.0,100.0
18,17,NODE_17_length_1436_cov_3.830325_1_1_1434,478,304,1.0,AZK35897.1,Anelloviridae,Anelloviridae,Anelloviridae,4267,244,ORF1,Hypothetical,Homo sapiens,ssDNA(-),Alphatorquevirus,5,5.0,100.0
19,18,NODE_301_length_1442_cov_48.114103_1_259_1440,393,398,0.99,QUD39720.1,Anelloviridae,Anelloviridae,Anelloviridae,4801,304,ORF1,Other-Functions,Homo sapiens,ssDNA(-),Alphatorquevirus,3,3.0,100.0
20,19,NODE_630_length_2080_cov_7.766062_1_1_1989,662,398,1.0,QUD39720.1,Anelloviridae,Anelloviridae,Anelloviridae,4801,304,ORF1,Other-Functions,Homo sapiens,ssDNA(-),Alphatorquevirus,10,10.0,100.0
21,20,NODE_8_length_2142_cov_35.246772_1_1_1548,516,398,0.99,QUD39720.1,Anelloviridae,Anelloviridae,Anelloviridae,4801,304,ORF1,Other-Functions,Homo sapiens,ssDNA(-),Alphatorquevirus,6,5.0,83.33
22,21,NODE_14_length_1501_cov_37.935862_1_338_1501,387,398,1.0,QUD39720.1,Anelloviridae,Anelloviridae,Anelloviridae,4801,304,ORF1,Other-Functions,Homo sapiens,ssDNA(-),Alphatorquevirus,3,2.0,66.67
23,22,NODE_188_length_2441_cov_39.885892_1_2_2188,728,304,1.0,AZK35897.1,Anelloviridae,Anelloviridae,Anelloviridae,4267,244,ORF1,Hypothetical,Homo sapiens,ssDNA(-),Alphatorquevirus,11,11.0,100.0
24,23,NODE_19_length_1341_cov_4.558915_1_1_1341,447,304,1.0,AZK35897.1,Anelloviridae,Anelloviridae,Anelloviridae,4267,244,ORF1,Hypothetical,Homo sapiens,ssDNA(-),Alphatorquevirus,4,3.0,75.0
25,24,NODE_6_length_2360_cov_129.478129_2_857_2359,500,398,1.0,QUD39720.1,Anelloviridae,Anelloviridae,Anelloviridae,4801,304,ORF1,Other-Functions,Homo sapiens,ssDNA(-),Alphatorquevirus,5,5.0,100.0
26,25,NODE_2547_length_1103_cov_5.349353_2_158_1075,305,236,0.99,QJI53447.1,Iflaviridae,Iflaviridae-Totiviridae-Dicistroviridae,Iflaviridae,174,359,polyprotein,Polyprotein,Apis mellifera,ssRNA(+),Iflavirus,1,1.0,100.0
27,26,NODE_5165_length_1607_cov_6.496217_1_106_1605,500,285,1.0,BCK34805.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2358,275,EBNA-3B- nuclear antigen,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus,5,4.0,80.0
28,27,NODE_7100_length_1346_cov_5.499623_1_226_1344,373,617,1.0,QRE02518.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,7003,89,BGLF5,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus,2,2.0,100.0
29,28,NODE_7474_length_987_cov_3.996894_1_1_987,328,311,0.95,BCK34806.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,2737,234,nuclear antigen EBNA-3C,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus,1,1.0,100.0
30,29,NODE_4608_length_929_cov_4.324890_1_3_929,309,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,1,1.0,100.0
31,30,NODE_1955_length_1439_cov_8.669252_2_359_1432,357,112,1.0,QEO75949.1,Peribunyaviridae,Peribunyaviridae,Peribunyaviridae,1739,972,polyprotein,Polyprotein,Homo sapiens,ssRNA(-),Orthobunyavirus,2,1.0,50.0
32,31,NODE_3982_length_1798_cov_8.941474_2_794_1798,334,942,0.97,AAA16736.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,4417,35,RIR1,Other-Functions,Homo sapiens,dsDNA,Roseolovirus,1,1.0,100.0
33,32,NODE_5396_length_1289_cov_7.820189_1_205_1287,361,752,1.0,QOE74618.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3862,58,origin binding protein,DNA-Binding,Homo sapiens,dsDNA,Roseolovirus,2,2.0,100.0
34,33,NODE_9719_length_1720_cov_7.633902_1_2_1720,573,173,1.0,NP_116409.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,3396,594,glycoprotein B,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus,7,7.0,100.0
35,34,NODE_12732_length_1225_cov_5.790698_1_1_1224,408,457,1.0,NP_064204.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5221,141,capsid portal protein,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus,3,3.0,100.0
36,35,NODE_999_length_1420_cov_12.964260_2_368_1420,350,630,1.0,NP_733869.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,4572,86,hypothetical protein,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus,2,2.0,100.0
39,36,NODE_873_length_2088_cov_6.264463_1_2_1693,564,728,1.0,YP_067997.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,5603,63,BXLF2,Other-Functions,Homo sapiens,dsDNA,Lymphocryptovirus,7,7.0,100.0
40,37,NODE_3713_length_982_cov_8.146722_1_21_980,319,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,1,1.0,100.0
41,38,NODE_1083_length_1379_cov_8.109720_2_465_1379,305,55,0.95,AAZ39526.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6525,2496,L1,Other-Functions,Homo sapiens,dsDNA,Alphapapillomavirus,1,1.0,100.0
42,39,NODE_1_length_26564_cov_32.026892_1_2_10174,3390,83,1.0,ATP66731.1,Coronaviridae,Coronaviridae,Coronaviridae,6,1446,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+),Betacoronavirus,78,78.0,100.0
43,40,NODE_1_length_26564_cov_32.026892_2_10171_18306,2711,83,1.0,ATP66731.1,Coronaviridae,Coronaviridae,Coronaviridae,6,1446,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+),Betacoronavirus,61,61.0,100.0
44,41,NODE_1_length_26564_cov_32.026892_3_18339_19358,339,255,1.0,AID16660.1,Coronaviridae,Coronaviridae,Coronaviridae,12205,325,hemagglutinin-esterase,Hemagglutinin,Homo sapiens,ssRNA(+),Betacoronavirus,1,1.0,100.0
45,42,NODE_1_length_26564_cov_32.026892_4_19581_23636,1351,123,1.0,QSJ02954.1,Coronaviridae,Coronaviridae,Coronaviridae,1904,886,spike glycoprotein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus,27,27.0,100.0
46,43,NODE_1_length_26564_cov_32.026892_8_24928_26253,441,218,1.0,QSJ02959.1,Coronaviridae,Coronaviridae,Coronaviridae,11545,405,nucleocapsid protein,Structural-Envelope,Homo sapiens,ssRNA(+),Betacoronavirus,4,4.0,100.0
47,44,NODE_14_length_1824_cov_53.250423_1_1_1824,608,83,1.0,ATP66731.1,Coronaviridae,Coronaviridae,Coronaviridae,6,1446,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+),Betacoronavirus,8,8.0,100.0
48,45,NODE_18_length_1323_cov_34.810535_1_223_1323,367,83,1.0,ATP66731.1,Coronaviridae,Coronaviridae,Coronaviridae,6,1446,RNA-dependent RNA polymerase,Replication-Transcription,Homo sapiens,ssRNA(+),Betacoronavirus,2,2.0,100.0
49,46,NODE_10949_length_1219_cov_4.451586_2_298_1218,306,979,0.86,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,1,1.0,100.0
50,47,NODE_11091_length_2775_cov_5.549020_2_1072_2475,467,307,1.0,7LBE_C,Herpesviridae,Herpesviridae,Orthoherpesviridae,9893,238,glycoprotein O,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus,5,5.0,100.0
51,48,NODE_20206_length_4402_cov_7.929925_1_1_1698,566,660,1.0,QQL09786.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,6733,77,protein US26,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus,7,7.0,100.0
53,49,NODE_20206_length_4402_cov_7.929925_3_3363_4400,346,532,0.98,AWV66923.1,Tobaniviridae,Tobaniviridae,Tobaniviridae,37,119,polyprotein 1a,Polyprotein,Sus scrofa,ssRNA(+),Torovirus,2,1.0,50.0
54,50,NODE_23969_length_3146_cov_9.235200_4_1389_2657,422,444,1.0,NP_612746.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,9868,146,regulatory protein IE1,Regulation-Control,Homo sapiens,dsDNA,Cytomegalovirus,4,4.0,100.0
55,51,NODE_28096_length_1044_cov_5.040078_1_2_1042,347,545,1.0,NP_612719.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,1895,116,major capsid protein,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus,2,2.0,100.0
56,52,NODE_64754_length_972_cov_4.798107_1_3_971,323,737,1.0,AAS48944.1,Herpesviridae,Herpesviridae,Orthoherpesviridae,9655,62,tegument protein vICA,Structural-Envelope,Homo sapiens,dsDNA,Cytomegalovirus,1,1.0,100.0
57,53,NODE_7_length_3007_cov_3.698579_1_68_1156,362,799,0.84,ACS44770.1,Roniviridae,Roniviridae,Roniviridae,46,50,pp1ab,Polyprotein,Penaeus monodon,ssRNA(+),Okavirus,2,1.0,50.0
58,54,NODE_7_length_3007_cov_3.698579_3_1654_2760,368,962,0.96,AYV76483.1,Mimiviridae,Mimiviridae-Phycodnaviridae,Mimiviridae,2538,33,isoleucyl-tRNA synthetase,Replication-Transcription,Acanthamoeba castellanii,dsDNA,Mimivirus,2,1.0,50.0
59,55,NODE_1_length_3982_cov_20.316968_2_912_2420,502,687,0.97,ACN59473.1,Tombusviridae,Tombusviridae,Tombusviridae,3832,71,replicase,Other-Functions,Cucurbitaceae,ssRNA(+),Gammacarmovirus,6,5.0,83.33
60,56,NODE_1_length_3982_cov_20.316968_4_2616_3944,442,978,0.99,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,Prokaryotic-viral,0,6464,Prokaryotic-viral,Other-Functions,Bacteria-Archaeal,Variaty,Variaty,4,1.0,25.0
61,57,NODE_15924_length_7373_cov_10.147171_2_721_1929,402,323,1.0,AYA93568.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,13688,320,E2 protein,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,3,3.0,100.0
62,58,NODE_15924_length_7373_cov_10.147171_3_1871_3691,606,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
63,59,NODE_15924_length_7373_cov_10.147171_7_4942_6492,516,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
64,60,NODE_2719_length_7407_cov_33.204176_2_413_1978,521,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,6,6.0,100.0
65,61,NODE_2719_length_7407_cov_33.204176_3_1994_3544,516,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
66,62,NODE_2719_length_7407_cov_33.204176_7_4795_6615,606,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
67,63,NODE_2286_length_1728_cov_5.482132_1_1_1728,576,23,1.0,ARB49194.1,Reoviridae,Reoviridae,Sedoreoviridae,4687,7726,VP4,Structural-Envelope,Homo sapiens,dsRNA,Rotavirus,7,7.0,100.0
68,64,NODE_449_length_7381_cov_27.395924_2_794_2614,606,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
69,65,NODE_449_length_7381_cov_27.395924_6_3865_5415,516,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
70,66,NODE_449_length_7381_cov_27.395924_7_5431_6996,521,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,6,6.0,100.0
71,67,NODE_302_length_1124_cov_54.377655_1_80_1123,348,979,0.98,Non-Viral,Non-Viral,Non-Viral,Non-Viral,0,7561,Non-Viral,Other-Functions,Non-Viral,Non-Viral,Non-Viral,2,1.0,50.0
72,68,NODE_5765_length_7247_cov_6.018154_2_418_1983,521,216,1.0,AYA94517.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,8812,407,L2 protein-capsid,Other-Functions,Homo sapiens,dsDNA,Gammapapillomavirus,6,6.0,100.0
73,69,NODE_5765_length_7247_cov_6.018154_3_1999_3549,516,78,1.0,WP_016044687.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,3037,1560,capsid L1,Structural-Envelope,Homo sapiens,dsDNA,Deltapapillomavirus,6,6.0,100.0
74,70,NODE_5765_length_7247_cov_6.018154_7_4800_6620,606,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,8,8.0,100.0
75,71,NODE_2019_length_7271_cov_22.513555_1_2_1519,506,85,1.0,QOI17587.1,Papillomaviridae,Papillomaviridae,Papillomaviridae,6022,1349,early E1,Replication-Transcription,Homo sapiens,dsDNA,Alphapapillomavirus,6,6.0,100.0
