ref,rep,fam_2021,fams_div,fam_2023,clu,sxc,proteina,proteina_class,host,cadena,genero
0,NP_663784.1,Retroviridae,Retroviridae,Retroviridae,1639,12256,gag polyprotein,Structural-Envelope,Homo sapiens,rt,Lentivirus
1,YP_009072438.1,Coronaviridae,Coronaviridae-Herpesviridae-Orthomyxoviridae-Filoviridae-Flaviviridae-Astroviridae-Caliciviridae-Paramyxoviridae-Reoviridae-Retroviridae,Coronaviridae,12,12115,ORF1ab polyprotein,Other-Functions,Hipposideros pratti,ssrna+,Betacoronavirus
2,AKZ15547.1,Retroviridae,Retroviridae-Coronaviridae,Retroviridae,3277,70061,envelope glycoprotein,Structural-Envelope,Macaca mulatta,rt,Lentivirus
3,7LX5_B,Coronaviridae,Coronaviridae-Reoviridae,Coronaviridae,1911,7401,spike,Structural-Envelope,Undefined host,ssrna+,Betacoronavirus
4,QIB02547.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,10199,43152,neuraminidase,Other-Functions,Sus scrofa,ssrna-,Alphainfluenzavirus
5,AFD32428.2,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,8030,42254,hemagglutinin,Hemagglutinin,Homo sapiens,ssrna-,Alphainfluenzavirus
6,6T0W_A,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,5052,36012,polymerase acidic protein,Replication-Transcription,Undefined host,ssrna-,Betainfluenzavirus
7,ACA25446.1,Hepadnaviridae,Hepadnaviridae,Hepadnaviridae,3076,33626,precore/core/P fusion protein,Structural-Envelope,Undefined host,rt,Orthohepadnavirus
8,ACF39684.1,Hepadnaviridae,Hepadnaviridae,Hepadnaviridae,7811,33301,truncated polymerase,Replication-Transcription,Homo sapiens,rt,Orthohepadnavirus
9,AQW44516.1,Flaviviridae,Flaviviridae-Coronaviridae-Hepadnaviridae,Flaviviridae,358,81816,polyprotein,Polyprotein,Homo sapiens,ssrna+,Hepacivirus
10,BAG82822.1,Picornaviridae,Picornaviridae-Retroviridae,Picornaviridae,640,32162,polyprotein,Polyprotein,Undefined host,ssrna+,Enterovirus
11,6SZU_C,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,4412,29461,polymerase,Replication-Transcription,Undefined host,ssrna-,Alphainfluenzavirus
12,6SZU_B,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,4755,25982,RdRp,Replication-Transcription,Undefined host,ssrna-,Alphainfluenzavirus
13,QOE76806.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,7950,22160,hemagglutinin,Hemagglutinin,Undefined host,ssrna-,Undefined genus
14,QSM12402.1,Coronaviridae,Coronaviridae,Coronaviridae,12790,21781,nucleocapsid phosphoprotein,Structural-Envelope,Homo sapiens,ssrna+,Betacoronavirus
15,QLC45894.1,Flaviviridae,Flaviviridae-Coronaviridae-Togaviridae-Phenuiviridae-Herpesviridae,Flaviviridae,189,20504,polyprotein/NanoLuc,Polyprotein,Undefined host,ssrna+,Orthoflavivirus
16,AAP76556.1,Retroviridae,Retroviridae,Retroviridae,2118,20310,gag polyprotein,Structural-Envelope,Homo sapiens,rt,Lentivirus
17,ACY94426.1,Retroviridae,Retroviridae,Retroviridae,3141,19189,envelope glycoprotein,Structural-Envelope,Macaca mulatta,rt,Lentivirus
18,AHK22794.1,Flaviviridae,Flaviviridae-Pneumoviridae-Herpesviridae-Poxviridae-Picornaviridae-Paramyxoviridae-Baculoviridae-Adenoviridae,Flaviviridae,300,16025,polyprotein,Polyprotein,Homo sapiens,ssrna+,Hepacivirus
19,QOE76828.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,6371,12829,nucleoprotein,Structural-Envelope,Undefined host,ssrna-,Undefined genus
20,QKF95578.1,Potyviridae,Potyviridae-Tymoviridae-Secoviridae-Closteroviridae-Alphaflexiviridae,Potyviridae,210,12451,hypothetical protein,Hypothetical ,Ipomoea batatas,ssrna+,Potyvirus
21,7KJR_A,Coronaviridae,Coronaviridae,Coronaviridae,21826,12086,ORF3a,Other-Functions,Undefined host,ssrna+,Betacoronavirus
22,AKT71995.1,Reoviridae,Reoviridae,Sedoreoviridae,17625,10204,outer capsid,Structural-Envelope,Homo sapiens,dsrna,Rotavirus
23,ARB49194.1,Reoviridae,Reoviridae,Sedoreoviridae,4687,7726,VP4,Other-Functions,Rousettus leschenaultii,dsrna,Rotavirus
24,6IN5_A,Orthomyxoviridae,Orthomyxoviridae-Paramyxoviridae,Orthomyxoviridae,7715,7397,Hemagglutinin,Hemagglutinin,Undefined host,ssrna-,Undefined genus
25,AAT01719.1,Picornaviridae,Picornaviridae,Picornaviridae,705,7066,polyprotein,Polyprotein,Undefined host,ssrna+,Aphthovirus
26,QLQ34863.1,Reoviridae,Caliciviridae-Reoviridae,Sedoreoviridae,3659,6754,fusion ,Structural-Envelope,Undefined host,dsrna,Rotavirus
27,QOE76814.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,7688,6385,hemagglutinin,Hemagglutinin,Undefined host,ssrna-,Undefined genus
28,QDY92359.1,Coronaviridae,Coronaviridae,Coronaviridae,2437,5418,spike,Structural-Envelope,Tadorna tadornoides,ssrna+,Gammacoronavirus
29,QSC88236.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,15836,5119,attachment protein,Structural-Envelope,Homo sapiens,ssrna-,Orthopneumovirus
30,YP_010087836.1,Geminiviridae,Geminiviridae-Caulimoviridae-Alphasatellitidae,Geminiviridae,21901,5087,CP,Other-Functions,Phaseolus vulgaris,ssdna,Begomovirus
31,QFR36400.1,Geminiviridae,Geminiviridae-Virgaviridae-Caulimoviridae-Alphasatellitidae,Geminiviridae,13371,8286,AC1,Other-Functions,Ipomoea batatas,ssdna,Begomovirus
32,AVM87625.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,10966,4547,NA,Other-Functions,Macrognathus aculeatus,ssrna-,Undefined genus
33,AAA43314.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,18461,4401,matrix,Structural-Envelope,Undefined host,ssrna-,Alphainfluenzavirus
34,BBJ34935.1,Pneumoviridae,Pneumoviridae,Pneumoviridae,18294,4091,attachment glycoprotein,Structural-Envelope,Homo sapiens,ssrna-,Orthopneumovirus
35,QVI17106.1,Caliciviridae,Caliciviridae,Caliciviridae,1326,5197,nonstructural polyprotein,Non-structural,Homo sapiens,ssrna+,Norovirus
36,ALK28765.1,Coronaviridae,Coronaviridae,Coronaviridae,1613,3663,spike glycoprotein,Structural-Envelope,Hipposideros abae,ssrna+,Alphacoronavirus
37,YP_008378665.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,772,3554,large protein,Other-Functions,Undefined host,ssrna-,Orthorubulavirus
38,ACN88111.1,Adenoviridae,Adenoviridae,Adenoviridae,3224,3608,hexon ,Other-Functions,Homo sapiens,dsdna,Mastadenovirus
39,AGW31675.1,Arteriviridae,Arteriviridae,Arteriviridae,155,3424,ORF1ab polyprotein,Other-Functions,Undefined host,ssrna+,Betaarterivirus
40,AAA43764.1,Orthomyxoviridae,Orthomyxoviridae,Orthomyxoviridae,17481,3207,nonstructural ,Non-structural,Undefined host,ssrna-,Betainfluenzavirus
41,CAA32488.1,Retroviridae,Retroviridae,Retroviridae,19771,3200,Nef protein,Other-Functions,Simiiformes,rt,Lentivirus
42,QBJ02252.1,Reoviridae,Reoviridae,Sedoreoviridae,2684,3195,VP1,Other-Functions,Sus scrofa,dsrna,Rotavirus
43,QCF24330.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,8698,3129,glycoprotein,Glycoprotein,Dryophytes cinereus,ssrna-,Amplylivirus
44,AVM87430.1,Togaviridae,Togaviridae-Flaviviridae,Togaviridae,1946,3099,structural polyprotein,Structural-Envelope,Eptatretus burgeri,ssrna+,Alphavirus
45,P35956.2,Retroviridae,Retroviridae,Retroviridae,1689,3027,gag polyprotein,Structural-Envelope,Ovis aries,rt,Lentivirus
46,AAD10459.1,Rhabdoviridae,Rhabdoviridae,Rhabdoviridae,10645,3027,nucleoprotein,Structural-Envelope,Undefined host,ssrna-,Lyssavirus
47,YP_009091837.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,6253,2898,fusion,Structural-Envelope,Eidolon helvum,ssrna-,Henipavirus
48,QAA77599.1,Reoviridae,Reoviridae,Sedoreoviridae,4033,2843,VP3,Other-Functions,Homo sapiens,dsrna,Rotavirus
49,YP_009094332.1,Paramyxoviridae,Paramyxoviridae,Paramyxoviridae,8773,2823,nucleocapsid,Structural-Envelope,Equus caballus,ssrna-,Salemvirus
50,ADW11143.1,Reoviridae,Reoviridae,Sedoreoviridae,9500,2771,nonstructural ,Non-structural,Homo sapiens,dsrna,Rotavirus
51,ADM15528.1,Reoviridae,Reoviridae,Sedoreoviridae,12211,2656,VP6,Other-Functions,Sus scrofa,dsrna,Rotavirus
