contig-21_204_length_2245_read_count_6995_1_3_1079,gb|AYV78380.1|,359,347,7.25E-11,72.4,31.056,161,45,MAG: hypothetical protein Edafosvirus11_15 [Edafosvirus sp.],
contig-21_229_length_2237_read_count_3681_1_2_1072,gb|AYV78380.1|,357,347,6.94E-11,72.4,31.056,161,45,MAG: hypothetical protein Edafosvirus11_15 [Edafosvirus sp.],
contig-49_16_length_10997_read_count_36198_2_717_2129,gb|UMO79173.1|,470,561,1.03E-12,80.1,35.533,197,40,2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e pyrophosphokinase [Pandoravirus belohorizontensis],
contig-49_16_length_11014_read_count_18918_2_717_2129,gb|UMO79173.1|,470,561,1.03E-12,80.1,35.533,197,40,2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e pyrophosphokinase [Pandoravirus belohorizontensis],
contig-84_64_length_10562_read_count_3733_8_8159_9571,gb|UMO79173.1|,470,561,2.07E-13,82,36.041,197,40,2-amino-4-hydroxy-6-hydroxymethyldihydropteridin e pyrophosphokinase [Pandoravirus belohorizontensis],
contig-63_16_length_11197_read_count_39315_7_5990_6973,ref|YP_009172663.1|,327,146,1.51E-23,102,43.871,155,47,Rnase H [Ostreococcus lucimarinus virus 2] >ALI95535.1 hypothetical protein OlV2_172 [Ostreococcus lucimarinus virus 2],
contig-84_22_length_22776_read_count_10353_8_7091_8395,emb|VBB18199.1|,434,445,6.11E-47,175,30.728,371,83,class I SAM-dependent methyltransferase [Yasminevirus sp. GU-2018],
contig-21_20_length_7705_read_count_17216_6_6058_7587,gb|ARF12398.1|,509,356,1.06E-47,177,35.577,312,61,UTP--glucose-1-phosphate uridylyltransferase [Klosneuvirus KNV1],
contig-21_31_length_7349_read_count_8798_6_5702_7231,gb|ARF12398.1|,509,356,1.06E-47,177,35.577,312,61,UTP--glucose-1-phosphate uridylyltransferase [Klosneuvirus KNV1],
contig-59_40_length_12849_read_count_3879_5_4684_6213,gb|QKF94354.1|,509,360,1.85E-49,182,33.058,363,71,UTP--glucose-1-phosphate uridylyltransferase [Fadolivirus 1],
contig-21_108_length_3834_read_count_6468_4_2002_3822,gb|QBP06638.1|,606,476,1.06E-49,187,30.833,360,59,hypothetical protein OlV1_gene186 [Ostreococcus lucimarinus virus 1],
contig-56_22_length_24635_read_count_12195_5_4883_6703,gb|QBP06638.1|,606,476,6.77E-50,188,31.111,360,59,hypothetical protein OlV1_gene186 [Ostreococcus lucimarinus virus 1],
contig-21_89_length_3917_read_count_12837_4_2002_3822,gb|QBP06638.1|,606,476,6.63E-50,188,31.111,360,59,hypothetical protein OlV1_gene186 [Ostreococcus lucimarinus virus 1],
contig-70_68_length_5376_read_count_14837_2_1349_3916,ref|YP_009325606.1|,855,725,2.38E-51,201,32.237,456,50,Holliday junction branch migration helicase [Only Syngen Nebraska virus 5] >APC25601.1 DEAD/DEAH box II RNA helicase [Only Syngen Nebraska virus 5],
contig-35_26_length_20195_read_count_6958_1_3_1382,gb|QBK88455.1|,459,640,2.28E-51,192,30.543,442,91,MAG: AMP-binding enzyme [Mimivirus LCMiAC01],
contig-35_65_length_10098_read_count_3865_3_1777_4344,ref|YP_009325606.1|,855,725,1.96E-51,201,32.237,456,50,Holliday junction branch migration helicase [Only Syngen Nebraska virus 5] >APC25601.1 DEAD/DEAH box II RNA helicase [Only Syngen Nebraska virus 5],
contig-35_140_length_3600_read_count_5463_1_3_2252,ref|YP_009325606.1|,750,725,4.4E-52,202,32.456,456,57,Holliday junction branch migration helicase [Only Syngen Nebraska virus 5] >APC25601.1 DEAD/DEAH box II RNA helicase [Only Syngen Nebraska virus 5],
contig-56_1_length_24539_read_count_82211_9_20863_23472,gb|AYV80670.1|,869,619,2.93E-53,205,33.427,356,41,MAG: puromycin sensitive aminopeptidase [Harvfovirus sp.],
contig-28_62_length_10818_read_count_4402_6_4246_6855,gb|AYV80670.1|,869,619,1.5E-53,206,33.708,356,41,MAG: puromycin sensitive aminopeptidase [Harvfovirus sp.],
contig-28_1_length_24307_read_count_42010_1_1_2376,gb|AYV80670.1|,792,619,1.07E-53,205,33.427,356,44,MAG: puromycin sensitive aminopeptidase [Harvfovirus sp.],
contig-21_103_length_4014_read_count_7277_1_1_1947,gb|QBK92099.1|,648,322,4.4E-54,196,37.855,317,47,MAG: pyridine nucleotide-disulfide oxidoreductase [Pithovirus LCPAC304],
contig-35_83_length_5198_read_count_10172_2_1752_3659,gb|QBK92099.1|,635,322,2.89E-54,196,37.855,317,48,MAG: pyridine nucleotide-disulfide oxidoreductase [Pithovirus LCPAC304],
contig-35_72_length_5183_read_count_19219_2_1729_3645,gb|QBK92099.1|,638,322,1.38E-54,197,38.17,317,48,MAG: pyridine nucleotide-disulfide oxidoreductase [Pithovirus LCPAC304],
contig-35_64_length_10512_read_count_4119_5_4513_6429,gb|QBK92099.1|,638,322,1.25E-54,197,38.17,317,48,MAG: pyridine nucleotide-disulfide oxidoreductase [Pithovirus LCPAC304],
contig-28_45_length_7205_read_count_8890_6_5301_7205,gb|QKF94735.1|,635,646,2.43E-57,213,30.174,517,78,long-chain fatty acid CoA synthetase [Fadolivirus 1],
contig-28_347_length_1259_read_count_4381_1_2_1258,emb|VBB17795.1|,419,1161,5.07E-59,217,33.673,392,91,"calcium-transporting P-type ATPase, PMR1-type [Yasminevirus sp. GU-2018]",
contig-21_373_length_1298_read_count_2265_1_1_1296,emb|VBB17795.1|,432,1161,1.44E-60,222,32.924,407,91,"calcium-transporting P-type ATPase, PMR1-type [Yasminevirus sp. GU-2018]",
contig-21_20_length_7705_read_count_17216_3_1073_3664,ref|YP_009052108.1|,863,765,5.96E-72,260,33.122,474,55,Holliday junction branch migration helicase [Aureococcus anophagefferens virus] >AII17187.1 putative superfamily II RNA helicase [Aureococcus anophagefferens virus] >UOG94332.1 N-methyltransferase [Aureococcus anophagefferens virus],
contig-21_31_length_7349_read_count_8798_3_717_3308,ref|YP_009052108.1|,863,765,5.96E-72,260,33.122,474,55,Holliday junction branch migration helicase [Aureococcus anophagefferens virus] >AII17187.1 putative superfamily II RNA helicase [Aureococcus anophagefferens virus] >UOG94332.1 N-methyltransferase [Aureococcus anophagefferens virus],
contig-59_40_length_12849_read_count_3879_8_8607_11198,ref|YP_009052108.1|,863,765,2.95E-73,264,33.333,474,55,Holliday junction branch migration helicase [Aureococcus anophagefferens virus] >AII17187.1 putative superfamily II RNA helicase [Aureococcus anophagefferens virus] >UOG94332.1 N-methyltransferase [Aureococcus anophagefferens virus],
contig-56_229_length_2013_read_count_5472_1_3_1955,gb|QKF94735.1|,650,646,1.11E-74,260,30.938,640,92,long-chain fatty acid CoA synthetase [Fadolivirus 1],
contig-21_245_length_2089_read_count_2742_1_158_2014,gb|QKF94735.1|,618,646,6.83E-75,260,30.556,648,96,long-chain fatty acid CoA synthetase [Fadolivirus 1],
contig-35_2_length_59782_read_count_27056_46_56802_58667,gb|QKF94735.1|,621,646,2.54E-75,261,30.853,645,96,long-chain fatty acid CoA synthetase [Fadolivirus 1],
contig-35_75_length_5476_read_count_8242_2_329_1729,gb|QFG73957.1|,466,460,5.23E-78,258,38.571,420,87,histidyl-tRNA synthetase [Megaviridae environmental sample],
contig-98_135_length_3505_read_count_228456_2_1771_3171,gb|QFG73957.1|,466,460,3.31E-78,259,38.571,420,87,histidyl-tRNA synthetase [Megaviridae environmental sample],
contig-35_6_length_39815_read_count_16278_2_2196_3596,gb|QFG73957.1|,466,460,3.43E-79,261,38.571,420,87,histidyl-tRNA synthetase [Megaviridae environmental sample],
contig-63_395_length_1043_read_count_354_1_3_1043,gb|AVL94681.1|,347,1100,2.94E-85,287,44.214,337,93,isoleucyl-tRNA synthetase [Moumouvirus australiensis],
contig-28_21_length_9050_read_count_29585_8_7757_9049,gb|QBK94013.1|,431,447,1.23E-88,284,38.018,434,99,MAG: aminopeptidase [Pithovirus LCPAC406],
contig-49_307_length_1478_read_count_4190_1_91_1476,gb|QDY51684.1|,462,1048,2.1E-91,307,36.343,443,94,tRNA synthetase class I [Mimiviridae sp. ChoanoV1],
contig-35_10_length_30858_read_count_17568_10_12146_13165,gb|QBK92099.1|,339,322,1.67E-91,284,44.179,335,98,MAG: pyridine nucleotide-disulfide oxidoreductase [Pithovirus LCPAC304],
contig-70_2_length_20417_read_count_78930_2_2842_3861,gb|QBK92099.1|,339,322,1.43E-91,284,44.478,335,98,MAG: pyridine nucleotide-disulfide oxidoreductase [Pithovirus LCPAC304],
contig-21_101_length_4025_read_count_8368_2_2843_3877,gb|QBK92099.1|,344,322,2.14E-92,286,43.695,341,99,MAG: pyridine nucleotide-disulfide oxidoreductase [Pithovirus LCPAC304],
